A,B,C
6.35986,8.02486,7.44637
6.58974,1.54001,8.39259
2.42078,3.97067,6.24906
1.69058,7.55144,0.22833
7.59058,2.47009,3.39777
0.21928,2.36839,5.72223
7.56056,7.74141,5.08624
3.27836,4.99461,7.04976
6.32289,7.66259,6.5072
4.24822,6.62742,7.59263
5.89422,6.62082,6.13392
4.83793,7.13904,5.64686
5.25438,6.47986,8.16891
7.75447,6.91466,4.55907
3.68819,5.00546,8.3187
6.04343,5.35848,2.00423
8.39306,0.65604,3.61658
1.53201,2.43788,7.84143
8.1326,5.92059,4.82561
8.43749,7.03769,6.78057
7.07414,1.00017,5.30087
0.96726,0.39664,0.49394
